L:6.000    W:2.000    H:0.050    l:0.050    tilt:0.44     thick_g:0.003    thick_p:0.001    thick_b:0.001    k_g:1.050    k_p:220.000  k_b:220.000   
c_g:660.0    c_p:890.0    c_b:890.0    rho_g:2500.0   rho_p:2700.0   rho_b:2700.0   thick_i:0.100    k_i0.040    
alpha_g:0.06     alpha_p:0.95     alpha_b:0.95     tau_g:0.84     e_g:0.90     e_p_up:0.95     e_p_down:0.95     e_b:0.95    
dx:0.10     dt:30.0    
01_07_2021  3        3.000    145.0   0.0     12.9    1.4     97850   0.0084  12.120   0.20000000 
01_07_2021  3        3.000    146.0   0.0     12.9    1.4     97850   0.0084  12.120   0.20000000 
01_07_2021  3        3.000    147.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    148.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    149.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    150.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    151.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    152.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    153.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    154.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    155.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    156.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    157.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    158.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    159.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    160.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    161.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    162.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    163.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    164.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    165.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    166.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    167.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    168.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    169.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    170.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    171.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    172.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    173.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    174.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    175.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    176.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
01_07_2021  3        3.000    177.0   0.0     12.9    1.4     97850   0.0084  12.121   0.20000000 
